Gene stable ID	Mouse gene stable ID	Mouse gene name	Gene name
ENSG00000243115			RN7SL849P
ENSG00000264910			RN7SL525P
ENSG00000252852			AP002848.1
ENSG00000252982	ENSMUSG00000087872	Gm26098	RN7SKP234
ENSG00000206795			AC002981.1
ENSG00000202237	ENSMUSG00000088647	Gm26487	RNU6-53P
ENSG00000252151	ENSMUSG00000084558	Gm24836	RNU6-1265P
ENSG00000222146	ENSMUSG00000084515	Gm22479	RNU4-37P
ENSG00000201812			RNA5SP488
ENSG00000222594			RN7SKP235
ENSG00000206779			CR589951.1
ENSG00000273908	ENSMUSG00000099243	Gm27538	AL049692.2
ENSG00000201690	ENSMUSG00000089170	Gm22431	RNY1P2
ENSG00000201690	ENSMUSG00000084644	Gm24379	RNY1P2
ENSG00000201690	ENSMUSG00000070235	Gm26329	RNY1P2
ENSG00000199362			AP003031.1
ENSG00000200052			AC140119.1
ENSG00000277551			GU182345.5
ENSG00000265123			RN7SL200P
ENSG00000276670			AC012354.6
ENSG00000264071			RN7SL531P
ENSG00000252872			RNU7-188P
ENSG00000251887	ENSMUSG00000077396	Gm24340	RNU6-760P
ENSG00000222429	ENSMUSG00000087792	Gm25968	RNU6-955P
ENSG00000252812	ENSMUSG00000088574	Gm24534	RN7SKP2
ENSG00000207201	ENSMUSG00000065344	Gm25581	RNU1-148P
ENSG00000240173			RN7SL771P
ENSG00000253038			RNU6-706P
ENSG00000206745	ENSMUSG00000065012	Gm23507	RNU6-643P
ENSG00000252130			RNU6-1045P
ENSG00000223224	ENSMUSG00000077549	Snord71	SNORD71
ENSG00000274197			AP003041.3
ENSG00000277563			AC063961.1
ENSG00000201185			RNA5SP202
ENSG00000201035			RNA5SP469
ENSG00000251998			RNU6-168P
ENSG00000202532			RNU6-395P
ENSG00000252634			RN7SKP219
ENSG00000199878			RN7SKP149
ENSG00000252325			RNU6-1038P
ENSG00000239964	ENSMUSG00000092805	Gm26461	RN7SL748P
ENSG00000201901			RN7SKP48
ENSG00000240823			RN7SL23P
ENSG00000265116			SNORD117
ENSG00000280496	ENSMUSG00000097052	Snora43	SNORA17B
ENSG00000280496	ENSMUSG00000105187	Gm23377	SNORA17B
ENSG00000241964			RN7SL135P
ENSG00000251730			AC092960.1
ENSG00000252312	ENSMUSG00000088165	Gm23533	RN7SKP21
ENSG00000278003			AC243913.1
ENSG00000222337			RN7SKP225
ENSG00000206665	ENSMUSG00000065159	Gm25482	RNU6-573P
ENSG00000283519			AF111167.3
ENSG00000276183	ENSMUSG00000084442	Gm26253	FO681491.2
ENSG00000212448			AC008128.1
ENSG00000241229			RN7SL443P
ENSG00000251942			AC069157.2
ENSG00000252305			AC005389.1
ENSG00000201301			RNA5SP130
ENSG00000222232			RNA5SP89
ENSG00000252682	ENSMUSG00000093245	Gm50449	AL354980.1
ENSG00000285674			AC010336.7
ENSG00000199601	ENSMUSG00000089486	Gm24737	RNU6-562P
ENSG00000276696			AC090518.2
ENSG00000199473	ENSMUSG00000088233	Gm25428	AC019117.1
ENSG00000199473	ENSMUSG00000077621	Gm23772	AC019117.1
ENSG00000199473	ENSMUSG00000065095	Gm23679	AC019117.1
ENSG00000252409	ENSMUSG00000087739	Gm24644	AC099537.1
ENSG00000252409	ENSMUSG00000089210	Gm23386	AC099537.1
ENSG00000275696			AC068631.2
ENSG00000207256			RNU6-880P
ENSG00000252341	ENSMUSG00000087758	Gm23466	AC012640.2
ENSG00000252341	ENSMUSG00000088825	Gm25223	AC012640.2
ENSG00000202069	ENSMUSG00000075837	Gm22005	RNU4-66P
ENSG00000212340	ENSMUSG00000088128	Gm25720	RNU6-739P
ENSG00000212340	ENSMUSG00000084449	Gm26257	RNU6-739P
ENSG00000212340	ENSMUSG00000088972	Gm23761	RNU6-739P
ENSG00000212340	ENSMUSG00000075832	Gm22004	RNU6-739P
ENSG00000251986			AC104305.1
ENSG00000200168			RNA5SP350
ENSG00000223174			RN7SKP17
ENSG00000264036			RN7SL198P
ENSG00000207261	ENSMUSG00000096238	Gm22583	RNU6-738P
ENSG00000222592			RNU6-887P
ENSG00000273541	ENSMUSG00000099039	Gm27928	AL137060.1
ENSG00000199591			AC139667.1
ENSG00000206760	ENSMUSG00000065041	Gm24044	SNORA6
ENSG00000202276			AC026894.1
ENSG00000252994	ENSMUSG00000064882	Gm24202	RNU6-1231P
ENSG00000241588			RN7SL484P
ENSG00000199203			AC097525.1
ENSG00000252620			RNU6ATAC24P
ENSG00000206854			RNY3P5
ENSG00000252542			SNORD36C
ENSG00000207393			RNU6-136P
ENSG00000199735			RNU6-227P
ENSG00000202095	ENSMUSG00000077273	Gm22779	RNU6-1172P
ENSG00000201746			RNU6-828P
ENSG00000252185	ENSMUSG00000064882	Gm24202	RNU6-752P
ENSG00000222704			RN7SKP182
ENSG00000278104			AL669914.3
ENSG00000275930			AC211486.8
ENSG00000238426			AL391647.2
ENSG00000264767			RN7SL237P
ENSG00000200913	ENSMUSG00000064751	Gm26330	SNORD46
ENSG00000278100			AL139405.1
ENSG00000206711			AC107055.1
ENSG00000200247			RNU6-254P
ENSG00000251746			RNA5SP112
ENSG00000251739	ENSMUSG00000088589	Gm22961	RNU6-1053P
ENSG00000222561			RNU6-1025P
ENSG00000241785			RN7SL390P
ENSG00000278525			RN7SL607P
ENSG00000200049			AC097658.1
ENSG00000222740			RNA5SP328
ENSG00000241821			RN7SL170P
ENSG00000199335			RNU6-204P
ENSG00000200424	ENSMUSG00000093822	Gm24801	RNU6-1155P
ENSG00000200424	ENSMUSG00000088471	Gm23080	RNU6-1155P
ENSG00000200424	ENSMUSG00000088517	Gm24437	RNU6-1155P
ENSG00000200424	ENSMUSG00000096823	Gm24569	RNU6-1155P
ENSG00000200424	ENSMUSG00000095319	Gm25465	RNU6-1155P
ENSG00000200424	ENSMUSG00000094139	Gm22263	RNU6-1155P
ENSG00000200424	ENSMUSG00000095033	Gm22349	RNU6-1155P
ENSG00000200424	ENSMUSG00000096186	Gm23306	RNU6-1155P
ENSG00000200424	ENSMUSG00000094972	Gm25254	RNU6-1155P
ENSG00000200424	ENSMUSG00000096627	Gm25024	RNU6-1155P
ENSG00000200424	ENSMUSG00000094639	Gm24218	RNU6-1155P
ENSG00000200424	ENSMUSG00000089117	Gm25903	RNU6-1155P
ENSG00000200424	ENSMUSG00000096342	Gm22885	RNU6-1155P
ENSG00000277467			RN7SL628P
ENSG00000222259			RN7SKP114
ENSG00000276890			AC114876.1
ENSG00000212293	ENSMUSG00000084690	Gm24896	AL137247.1
ENSG00000207442	ENSMUSG00000095389	Gm23953	SNORD116-6
ENSG00000207442	ENSMUSG00000096660	Gm22863	SNORD116-6
ENSG00000207442	ENSMUSG00000096095	Gm26332	SNORD116-6
ENSG00000207442	ENSMUSG00000095542	Gm24618	SNORD116-6
ENSG00000278853			RNU6-55P
ENSG00000222129			RNA5SP36
ENSG00000272439			RNU6-91P
ENSG00000221345			AL096709.1
ENSG00000207235			AC099850.1
ENSG00000222924			RNU6-1148P
ENSG00000222489			SNORA79B
ENSG00000242985			RN7SL50P
ENSG00000273725			AC055845.1
ENSG00000243260			RN7SL558P
ENSG00000200914			RNA5SP435
ENSG00000206913			AP000577.1
ENSG00000207338			RNU6-296P
ENSG00000201778			AC104411.1
ENSG00000243870			RN7SL236P
ENSG00000200786			RNA5SP234
ENSG00000199315			RNA5SP347
ENSG00000223175			RNU4-61P
ENSG00000263467			CR753819.1
ENSG00000201727			RNA5SP173
ENSG00000199744	ENSMUSG00000065295	Gm24134	SNORD36A
ENSG00000264415			AL805917.1
ENSG00000264002			RN7SL52P
ENSG00000252333	ENSMUSG00000065643	Gm25897	RNU6-964P
ENSG00000252135			RNU1-155P
ENSG00000201610			RNA5SP84
ENSG00000201451			AL772161.1
ENSG00000207110	ENSMUSG00000064553	Gm24622	RNVU1-32
ENSG00000199932	ENSMUSG00000088332	Gm22847	RNU1-18P
ENSG00000201168			RNA5SP368
ENSG00000222790			RNU4-14P
ENSG00000222238			RNU2-43P
ENSG00000239127	ENSMUSG00000088634	Gm24958	SNORD125
ENSG00000222795			RNU4-83P
ENSG00000239545			RN7SL822P
ENSG00000252828			RNA5SP135
ENSG00000253098			RNU7-161P
ENSG00000273612			AL137060.2
ENSG00000274186			RN7SL248P
ENSG00000242113			RN7SL124P
ENSG00000281000			SNORD3D
ENSG00000276956			RN7SL769P
ENSG00000202025			RNU6-1240P
ENSG00000206951			AL133244.1
ENSG00000206620	ENSMUSG00000065463	Snord45c	SNORD45C
ENSG00000222987	ENSMUSG00000087728	Gm26274	RN7SKP68
ENSG00000242079			RN7SL318P
ENSG00000252172			RNU6-720P
ENSG00000278700			AC023830.4
ENSG00000252783	ENSMUSG00000088570	Gm24531	RNU6-835P
ENSG00000252783	ENSMUSG00000088234	Gm25423	RNU6-835P
ENSG00000253051			AL138963.2
ENSG00000253055			RNA5SP415
ENSG00000281230			SERTAD4
ENSG00000251711	ENSMUSG00000084647	Gm24382	RNU6-632P
ENSG00000266794			RN7SL7P
ENSG00000239030			RNU6-956P
ENSG00000252446			RNU6-405P
ENSG00000222303	ENSMUSG00000094896	Gm22287	RNU6-935P
ENSG00000201247			SNORD114-13
ENSG00000200652	ENSMUSG00000089050	Gm23353	AC136611.1
ENSG00000200807	ENSMUSG00000064762	Gm23738	RNU1-32P
ENSG00000266634			MIR3972
ENSG00000199444			AC022415.1
ENSG00000200208			AL109954.1
ENSG00000212371	ENSMUSG00000065089	Gm26493	AF111168.1
ENSG00000238326			AC016596.2
ENSG00000241188			RN7SL165P
ENSG00000244671			RN7SL280P
ENSG00000252145	ENSMUSG00000065747	Gm25006	RNU6-1225P
ENSG00000252145	ENSMUSG00000084417	Gm23463	RNU6-1225P
ENSG00000207750			MIR553
ENSG00000200283			AC105398.1
ENSG00000202252			SNORD14C
ENSG00000231587	ENSMUSG00000094251	Gm25632	SNORD62B
ENSG00000239080			AL807743.1
ENSG00000207165			SNORA70
ENSG00000212157			RNU6-1319P
ENSG00000284485	ENSMUSG00000065533	Mir205	MIR205
ENSG00000207382			AC080038.1
ENSG00000252091			RNU6-1146P
ENSG00000273566			AL158209.1
ENSG00000200792	ENSMUSG00000077483	Gm25273	SNORA80A
ENSG00000200792	ENSMUSG00000077449	Gm23127	SNORA80A
ENSG00000265509			BX005439.1
ENSG00000202313	ENSMUSG00000065027	Gm25201	RNU1-64P
ENSG00000202313	ENSMUSG00000088394	Gm26312	RNU1-64P
ENSG00000202313	ENSMUSG00000065374	Gm22738	RNU1-64P
ENSG00000276653			RN7SL856P
ENSG00000207789	ENSMUSG00000065430	Mir26a-2	MIR26A2
ENSG00000207312			RNU6-429P
ENSG00000278592			AC004080.15
ENSG00000206964			AC012358.2
ENSG00000209702	ENSMUSG00000077527	Gm25506	SNORD41
ENSG00000283159	ENSMUSG00000076313	Mir665	MIR665
ENSG00000239607			RN7SL573P
ENSG00000199012	ENSMUSG00000065570	Mir412	MIR412
ENSG00000201987			AL390119.1
ENSG00000202336	ENSMUSG00000064590	Gm22301	RNU6-359P
ENSG00000206769			RNU6-116P
ENSG00000202159	ENSMUSG00000089164	Gm24131	RNU6-742P
ENSG00000200295			RNU6-527P
ENSG00000206959	ENSMUSG00000089170	Gm22431	AL157838.2
ENSG00000206959	ENSMUSG00000084644	Gm24379	AL157838.2
ENSG00000206959	ENSMUSG00000070235	Gm26329	AL157838.2
ENSG00000238721			RNU7-194P
ENSG00000201489			AC016876.1
ENSG00000263413			MIR4538
ENSG00000265319			RN7SL847P
ENSG00000200305			AC012377.1
ENSG00000285912			AC104843.3
ENSG00000276891			RN7SL238P
ENSG00000265093			RN7SL246P
ENSG00000201968			RNA5SP138
ENSG00000264484			RN7SL697P
ENSG00000207341			RNA5SP64
ENSG00000212238			RNA5SP244
ENSG00000266039			MIR4509-2
ENSG00000274350			RN7SL853P
ENSG00000200152	ENSMUSG00000065074	Gm24535	RNU6-216P
ENSG00000201231	ENSMUSG00000084560	Gm26478	RNU4-50P
ENSG00000212517			AL121924.1
ENSG00000200139	ENSMUSG00000088879	Gm25867	RNU6-778P
ENSG00000252323			RNU6-184P
ENSG00000276522			RN7SL462P
ENSG00000284059			MIR5572
ENSG00000251722			RNU5E-3P
ENSG00000223188			AL392105.1
ENSG00000281459			PADI1
ENSG00000208003			MIR549A
ENSG00000199677			AC113410.1
ENSG00000241997			RN7SL323P
ENSG00000199474			AC092324.1
ENSG00000275942	ENSMUSG00000099235	Gm27882	Z99774.2
ENSG00000243976			RN7SL523P
ENSG00000251764			RNA5SP446
ENSG00000207614	ENSMUSG00000065395	Mir193a	MIR193A
ENSG00000275337			RN7SL680P
ENSG00000277374			AC116622.1
ENSG00000222207			RNA5SP407
ENSG00000275215			RNA5-8SN3
ENSG00000264010			MIR4429
ENSG00000200174	ENSMUSG00000089170	Gm22431	AL162739.1
ENSG00000200174	ENSMUSG00000084644	Gm24379	AL162739.1
ENSG00000200174	ENSMUSG00000070235	Gm26329	AL162739.1
ENSG00000251937			RNU7-129P
ENSG00000199912			AC006517.1
ENSG00000201569			SNORD114-17
ENSG00000200757			SNORD115-16
ENSG00000252512			RNA5SP206
ENSG00000265682			MIR4267
ENSG00000251900	ENSMUSG00000065145	Vaultrc5	VTRNA2-2P
ENSG00000251900	ENSMUSG00000064905	Gm25403	VTRNA2-2P
ENSG00000199480			RNA5SP389
ENSG00000281391			RCC2-AS1
ENSG00000278524			MIR6810
ENSG00000201711			RNU6-1303P
ENSG00000222895	ENSMUSG00000089422	Gm26008	RNU6-1133P
ENSG00000202099			RNU6-234P
ENSG00000201923			RNA5SP485
ENSG00000281540			RCC2
ENSG00000252191	ENSMUSG00000089541	Gm25834	RNU6-751P
ENSG00000216141			MIR941-2
ENSG00000201684			RN7SKP239
ENSG00000252864			RNA5SP278
ENSG00000281067			ST13P19
ENSG00000275330			VSTM1
ENSG00000200875			RNU6-340P
ENSG00000202304	ENSMUSG00000065837	Gm23503	RNU6-1130P
ENSG00000238804			AC091133.2
ENSG00000275904			AL627230.2
ENSG00000216135			MIR885
ENSG00000252252	ENSMUSG00000084647	Gm24382	RNU6-687P
ENSG00000200528	ENSMUSG00000064882	Gm24202	RNU6-1331P
ENSG00000201129	ENSMUSG00000077569	Gm24608	SNORA58B
ENSG00000207449	ENSMUSG00000065165	Gm23815	RNU6-19P
ENSG00000283745	ENSMUSG00000065443	Mir196b	MIR196B
ENSG00000200057			RN7SKP63
ENSG00000199733			RNA5SP307
ENSG00000264389			AL929581.1
ENSG00000199962			AP000967.1
ENSG00000207507	ENSMUSG00000094977	Gm25256	RNU6-9
ENSG00000207507	ENSMUSG00000095805	Gm22092	RNU6-9
ENSG00000265942			RN7SL577P
ENSG00000283956			MIR3610
ENSG00000251825			RN7SKP19
ENSG00000251877			RNU2-45P
ENSG00000206885	ENSMUSG00000064862	Gm25038	SNORA75
ENSG00000206885	ENSMUSG00000064837	Snora75	SNORA75
ENSG00000207351			AC131235.1
ENSG00000221768			MIR1302-7
ENSG00000265983			CR753309.2
ENSG00000251888			RN7SKP190
ENSG00000278287			AL109925.6
ENSG00000273770			AC012572.4
ENSG00000199072			MIRLET7F1
ENSG00000262656			AC004918.3
ENSG00000263971			CR788250.3
ENSG00000244318			RN7SL252P
ENSG00000222685			RN7SKP119
ENSG00000223181			RNU6-1199P
ENSG00000199051	ENSMUSG00000065510	Mir361	MIR361
ENSG00000207014	ENSMUSG00000095389	Gm23953	SNORD116-3
ENSG00000207014	ENSMUSG00000096660	Gm22863	SNORD116-3
ENSG00000207014	ENSMUSG00000096095	Gm26332	SNORD116-3
ENSG00000207014	ENSMUSG00000095542	Gm24618	SNORD116-3
ENSG00000271922			AC134026.1
ENSG00000276881			RNU6-1258P
ENSG00000212171			RNA5SP86
ENSG00000206635	ENSMUSG00000088910	Gm22608	RNU6-1062P
ENSG00000277948	ENSMUSG00000099302	Gm27421	AC007435.1
ENSG00000216171			MIR513C
ENSG00000199815	ENSMUSG00000064858	Snora43	AC034186.1
ENSG00000199815	ENSMUSG00000064877	Gm23377	AC034186.1
ENSG00000200114			RNA5SP123
ENSG00000274606			AC106873.4
ENSG00000200983	ENSMUSG00000065817	Gm24698	SNORA3A
ENSG00000200983	ENSMUSG00000065016	Snora3	SNORA3A
ENSG00000251763			RNU6-470P
ENSG00000200750			AC091038.1
ENSG00000273886			AL138690.2
ENSG00000273501			AL355493.2
ENSG00000276577			RNU6-467P
ENSG00000252257	ENSMUSG00000089398	Gm23028	RN7SKP265
ENSG00000275420			AC144587.1
ENSG00000280864			AC255560.1
ENSG00000252429			RNU7-29P
ENSG00000263871			CR753835.1
ENSG00000199489			SNORD115-25
ENSG00000212332			RNU6-780P
ENSG00000244034			RN7SL424P
ENSG00000252810			RNU6-345P
ENSG00000244544			RN7SL446P
ENSG00000200469			RNU6-112P
ENSG00000206991	ENSMUSG00000065314	Gm26065	RNU6-610P
ENSG00000252448	ENSMUSG00000065884	Gm22864	AL929472.5
ENSG00000252448	ENSMUSG00000064382	Gm26447	AL929472.5
ENSG00000238406			RNU7-171P
ENSG00000212479			AF124730.1
ENSG00000206781			AC091231.1
ENSG00000277139			AC142525.2
ENSG00000207181	ENSMUSG00000065637	Gm26397	SNORA14B
ENSG00000252398			AC094019.3
ENSG00000202039	ENSMUSG00000087734	Gm24646	RNU6-215P
ENSG00000200102			RNU6-252P
ENSG00000200903	ENSMUSG00000093815	Gm26444	RNU1-42P
ENSG00000200903	ENSMUSG00000096659	Gm25679	RNU1-42P
ENSG00000200903	ENSMUSG00000095616	Gm26244	RNU1-42P
ENSG00000200903	ENSMUSG00000094306	Gm24924	RNU1-42P
ENSG00000200903	ENSMUSG00000095969	Rnu1a1	RNU1-42P
ENSG00000200903	ENSMUSG00000065178	Gm22126	RNU1-42P
ENSG00000200903	ENSMUSG00000096214	Gm22634	RNU1-42P
ENSG00000200903	ENSMUSG00000094826	Gm23804	RNU1-42P
ENSG00000200903	ENSMUSG00000096349	Gm22513	RNU1-42P
ENSG00000200903	ENSMUSG00000064941	Gm23238	RNU1-42P
ENSG00000200903	ENSMUSG00000096205	Gm22068	RNU1-42P
ENSG00000200903	ENSMUSG00000096206	Gm22317	RNU1-42P
ENSG00000200903	ENSMUSG00000095590	Gm24305	RNU1-42P
ENSG00000200350			RNU6-1285P
ENSG00000242696			RN7SL40P
ENSG00000252558			RNU6-914P
ENSG00000273975			AC007272.2
ENSG00000223064			RNU6-325P
ENSG00000222546			RNA5SP251
ENSG00000272028			RNU6-87P
ENSG00000252045			AP000272.1
ENSG00000206672			AL049860.1
ENSG00000199509			RNA5SP477
ENSG00000274171			AC243627.1
ENSG00000221527	ENSMUSG00000080384	Gm22105	RNU6ATAC41P
ENSG00000278498			AL356608.2
ENSG00000201245			AL137139.1
ENSG00000276516			RN7SL284P
ENSG00000251791	ENSMUSG00000089281	Scarna6	SCARNA6
ENSG00000200475	ENSMUSG00000089318	Gm23179	RN7SKP162
ENSG00000201728			RNA5SP479
ENSG00000200106	ENSMUSG00000088616	Gm26000	RNU6-984P
ENSG00000202374			AC079880.1
ENSG00000276839			AL138776.1
ENSG00000200789			RNU1-65P
ENSG00000251805			AC009228.2
ENSG00000202408			RNVU1-21
ENSG00000238788	ENSMUSG00000088970	Gm23763	RNU7-182P
ENSG00000199385	ENSMUSG00000070258	Gm25207	RNU6-369P
ENSG00000272020			RNU1-30P
ENSG00000277599			AP000944.2
ENSG00000251960			RNU6-559P
ENSG00000200495			RNU6-1205P
ENSG00000252645			RNU7-111P
ENSG00000276003			AC108065.1
ENSG00000239888			RN7SL792P
ENSG00000276396			AC024032.2
ENSG00000273979			AL035450.1
ENSG00000212496			RNU6-1093P
ENSG00000277004			RNA5SP412
ENSG00000207174	ENSMUSG00000077772	Gm22373	SNORD116-15
ENSG00000206596			RNU1-27P
ENSG00000274475			RN7SL650P
ENSG00000252396			RN7SKP195
ENSG00000202251			AC003688.1
ENSG00000212418			RNY4P36
ENSG00000251880			RNU7-75P
ENSG00000278757			FO681485.1
ENSG00000222617	ENSMUSG00000088674	Gm22803	RN7SKP254
ENSG00000202283	ENSMUSG00000065004	Gm26326	AL591387.1
ENSG00000203436			AC105916.1
ENSG00000252470			RNU6-551P
ENSG00000200898			RNU6-1243P
ENSG00000213167			AC074021.1
ENSG00000223238			RNA5SP294
ENSG00000212269			RNU6-788P
ENSG00000252671			AC012640.3
ENSG00000275213			AC096533.2
ENSG00000238754	ENSMUSG00000088323	Gm25663	SCARNA18B
ENSG00000212466	ENSMUSG00000084647	Gm24382	RNU6-952P
ENSG00000252050			AL606748.2
ENSG00000199266	ENSMUSG00000064585	Gm25129	SNORA60
ENSG00000200418	ENSMUSG00000064880	Gm24201	SNORA63B
ENSG00000199584			AC025252.1
ENSG00000200890			RNA5SP99
ENSG00000252597			RNU7-137P
ENSG00000241791			RN7SL817P
ENSG00000207144	ENSMUSG00000087832	Gm23958	RNU6-1297P
ENSG00000278747			AC073135.5
ENSG00000212526			RNU6-466P
ENSG00000223335			RNU6-603P
ENSG00000252581			RNU6-1098P
ENSG00000199985			RNA5SP264
ENSG00000200036			RNA5SP65
ENSG00000206926	ENSMUSG00000065242	Gm22294	RNU6-1024P
ENSG00000206926	ENSMUSG00000088889	Gm24211	RNU6-1024P
ENSG00000273974	ENSMUSG00000099287	Gm27987	AC004386.3
ENSG00000276685			AC118650.1
ENSG00000206836	ENSMUSG00000065299	Gm23138	RNU6-1029P
ENSG00000206836	ENSMUSG00000096451	Gm22645	RNU6-1029P
ENSG00000206836	ENSMUSG00000075826	Gm23691	RNU6-1029P
ENSG00000263608			RN7SL353P
ENSG00000206850			AC073912.1
ENSG00000251864			AL121715.1
ENSG00000201403	ENSMUSG00000064741	Snord14a	SNORD14B
ENSG00000201157			AC009884.1
ENSG00000277580			RNU6-747P
ENSG00000212532			AL365219.1
ENSG00000252751			RNU6-143P
ENSG00000277583	ENSMUSG00000098567	Gm27762	AC106873.7
ENSG00000277903			AC024051.9
ENSG00000201217			AC026347.1
ENSG00000207445	ENSMUSG00000064966	Snord15b	SNORD15B
ENSG00000201297			AC079835.1
ENSG00000277995			AC025771.2
ENSG00000278026	ENSMUSG00000098254	Gm27611	AC117415.2
ENSG00000222268			RNA5SP425
ENSG00000278020			AC004080.13
ENSG00000201618			RNA5SP505
ENSG00000207333			RNU6-680P
ENSG00000212542			RNA5SP496
ENSG00000238311			SNORD13E
ENSG00000252117	ENSMUSG00000084453	Gm24596	RNU6-1108P
ENSG00000201766			RNA5SP302
ENSG00000273624			AC136352.1
ENSG00000278151			AC108065.2
ENSG00000238908			RNA5SP484
ENSG00000200917			RNU6-553P
ENSG00000201394			RNA5SP140
ENSG00000229686	ENSMUSG00000065289	Gm23650	SNORD56
ENSG00000200220			RNU6-179P
ENSG00000265033			RN7SL262P
ENSG00000273537	ENSMUSG00000099117	Gm27404	AC009951.1
ENSG00000238854			AC100803.1
ENSG00000275823			AL109925.2
ENSG00000266150			MIR4711
ENSG00000274127			AC073418.1
ENSG00000243370			RN7SL775P
ENSG00000251869	ENSMUSG00000088712	Gm22728	SCARNA23
ENSG00000252275			RNU7-192P
ENSG00000264720			MIR3117
ENSG00000264251			RN7SL819P
ENSG00000239039			SNORD13
ENSG00000201315			RN7SKP227
ENSG00000215930			MIR942
ENSG00000275776			RN7SL185P
ENSG00000201780			RNU6-275P
ENSG00000276871			AC137488.1
ENSG00000212266			AL390877.1
ENSG00000212605			RNU1-56P
ENSG00000199577			RNU6-822P
ENSG00000265831			MIR3123
ENSG00000207100	ENSMUSG00000065226	Gm25791	Z77249.1
ENSG00000207100	ENSMUSG00000093277	Gm26236	Z77249.1
ENSG00000212306			AC090695.1
ENSG00000240639			RN7SL666P
ENSG00000221375			RNU6ATAC23P
ENSG00000239152			RNA5SP310
ENSG00000264800			MIR4294
ENSG00000199515			AL080243.1
ENSG00000212360			RNU6-1177P
ENSG00000200367			SNORD113-8
ENSG00000200553			AC097173.1
ENSG00000202513	ENSMUSG00000065314	Gm26065	RNU6-805P
ENSG00000284293			MIR7113
ENSG00000252061			RNU6-415P
ENSG00000212257	ENSMUSG00000089314	Gm23185	RNU6-1176P
ENSG00000252888			AC013738.1
ENSG00000252745			RNA5SP143
ENSG00000264295			MIR3922
ENSG00000252347			RNU6-1046P
ENSG00000221044			AC023855.1
ENSG00000207233			SNORA37
ENSG00000265141			RN7SL451P
ENSG00000252655			AL137230.1
ENSG00000216179	ENSMUSG00000076052	Mir541	MIR541
ENSG00000274742			AL391827.2
ENSG00000238998			RNU7-187P
ENSG00000251994			RNU2-27P
ENSG00000201992			SNORD115-35
ENSG00000243373			RN7SL173P
ENSG00000252042			AC022211.1
ENSG00000207702			MIR211
ENSG00000263969			RN7SL678P
ENSG00000264317			RN7SL154P
ENSG00000244236			RN7SL604P
ENSG00000265753			RN7SL444P
ENSG00000264397			MIR3180-5
ENSG00000243267			RN7SL614P
ENSG00000242863			RN7SL677P
ENSG00000200834			AL139113.1
ENSG00000276609	ENSMUSG00000098484	Gm27280	AC004080.9
ENSG00000266232			MIR3178
ENSG00000283369	ENSMUSG00000088992	Gm22769	AL606804.2
ENSG00000252680			RNA5SP449
ENSG00000275780			AC003070.3
ENSG00000284368			MIR5047
ENSG00000277689			AL109925.5
ENSG00000265920			BX001039.1
ENSG00000238423	ENSMUSG00000065676	Snord42b	SNORD42B
ENSG00000277379			MIR6724-3
ENSG00000274467			RNA5SP257
ENSG00000244356			RN7SL398P
ENSG00000201410	ENSMUSG00000064797	Gm24357	AC107024.1
