GENE	Description	Gene Classification*							
SLAMF7	SLAM family member 7	Receptor							
SLC22A15	"solute carrier family 22, member 15"	Others							
SLC25A28	"solute carrier family 25, member 28"	Others							
SLC31A2	"solute carrier family 31 (copper transporters), member 2"	Others							
SLC6A12	"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"	Others							
SLC7A5	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"	Others							
SNTB1	"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)"	Others							
SNX10	sorting nexin 10	Others							
SOCS3	suppressor of cytokine signaling 3	Trancription Factor							
SOD2	"superoxide dismutase 2, mitochondrial"	Enzyme							
STAT1	"signal transducer and activator of transcription 1, 91kDa"	Trancription Factor							
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Trancription Factor							
STX11	syntaxin 11	Others							
TAP1	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"	Others							
TNFAIP6	"tumor necrosis factor, alpha-induced protein 6"	Others							
TNFSF10	"tumor necrosis factor (ligand) superfamily, member 10"	Cytokine							
TRIM69	tripartite motif-containing 69	Enzyme							
UBE2L6	ubiquitin-conjugating enzyme E2L 6	Enzyme							
USP18	ubiquitin specific peptidase 18	Enzyme							
VAMP5	vesicle-associated membrane protein 5 (myobrevin)	Others							
WARS	tryptophanyl-tRNA synthetase	Enzyme							
XRN1	5'-3' exoribonuclease 1	Enzyme							
