"SPT6i vs CTLi Genes (Fold-change > 10 or < -10, p-value < 0.1)"						
Source: GSE153129-Supplementary-4.xlsx						
						
UP					DOWN	
YBX2	3.84E+01	0.000204692		SLURP2	-110.85	0.00316268
SH2D6	3.79E+01	0.000790615		IL37	-109.391	0.000574607
VAMP1	3.77E+01	0.00148205		CALB2	-106.635	0.000115456
SERINC4	35.4103	2.28E-05		H19	-105.162	0.00012845
ABHD11	35.1805	1.38E-05		KRT16P2	-100.734	0.00182342
IRAIN	3.52E+01	0.000184771		TREX2	-99.8615	1.88E-05
LTBP3	34.8867	4.20E-06		PPP2R2C	-95.978	6.29E-05
LOC101928617	34.5002	1.49E-05		PNPLA1	-94.7267	0.000532732
TCHHL1	34.2884	0.00354985		EVPLL	-93.0349	6.41E-05
SLC9A5	34.1122	0.00122615		LYPD2	-91.4008	0.000930207
LOC101926889	33.9944	0.000754288		ATP2C2	-91.2726	2.25E-05
NCEH1	33.7278	9.45E-07		SDR9C7	-90.1501	0.000158969
FGR	33.5631	0.000254242		GJB6	-88.2415	8.12E-05
HLA-F-AS1	33.5257	0.00345317		LCE3D	-86.8265	0.00188512
LINC02014	33.3705	1.49E-05		VSIG10L	-86.7942	0.000132657
PYHIN1	3.29E+01	0.000686696		GPR78	-86.4269	0.000397113
EDA2R	32.5489	3.47E-07		C10orf99	-82.9335	0.000124837
SNAI1	3.18E+01	0.00121713		FAM25A	-81.2182	9.30E-06
GRIN2C	31.676	0.00113758		RPTN	-77.5068	0.000149593
LOC100652758	31.6472	0.000516961		CSTA	-77.4553	4.78E-07
DYNLRB2	3.16E+01	0.00117555		KLK1	-76.8243	0.000125075
C9orf43	31.4849	0.00279943		SPINK7	-76.4101	3.52E-05
HLA-F	31.3991	0.00186189		FABP5	-74.5186	2.00E-05
LEMD1	31.1807	0.000365126		DSC1	-73.8034	1.68E-05
MICB	30.7908	0.000269151		KRT79	-73.3875	0.00104879
CFAP43	30.6462	9.08E-05		LYPD5	-73.0759	2.26E-05
PRR15L	3.06E+01	0.000668388		IFNK	-72.6631	0.00356324
LINC02542	30.3633	5.51E-06		PAQR5	-72.5225	0.000850415
LEKR1	2.97E+01	5.68E-05		SLC30A2	-72.4475	0.00143802
ACVR2B-AS1	29.4369	5.15E-05		PTPN5	-70.3418	0.00108366
FUCA1	29.0027	3.71E-07		ASPRV1	-66.6115	0.000101781
ACTA2	2.89E+01	0.00027268		KRT16P3	-66.0653	0.000160859
CYP8B1	28.8544	0.000419421		DEFB103A	-65.8061	0.000444637
GPD1	28.6247	0.000295572		MUC22	-65.5972	0.00420212
ZNF205-AS1	28.496	0.000165219		CERS4	-64.8481	6.98E-05
CMTM7	28.3371	0.00374433		KRT16P1	-64.7372	0.000373448
DNAAF1	2.83E+01	0.000417707		TAGLN3	-63.6921	0.00121293
MMRN1	28.1351	3.50E-05		SPRR2A	-63.3649	0.000473648
TMEM225B	2.81E+01	0.000153468		ATP13A4	-63.1139	6.45E-05
C6orf52	27.9063	0.00109451		LY6G6C	-61.8139	0.000275143
LINC01770	2.78E+01	0.000472711		SLURP1	-61.8034	0.00260158
PTPRH	2.77E+01	0.00421829		EPB41L3	-61.6961	0.00126997
LINC01232	2.77E+01	0.000518532		AQP9	-61.5281	0.00059287
HLA-B	27.3239	0.00137154		PLA2G4E-AS1	-60.1724	0.00162861
TOB2P1	2.71E+01	9.51E-09		ANKRD35	-59.3124	2.15E-05
FLJ31356	27.0245	0.000158834		CRCT1	-58.5339	0.000692429
EPS8	26.9058	2.05E-05		CALML5	-58.0513	2.48E-05
LOC100507053	2.69E+01	0.000198833		PPP1R16B	-57.377	0.00220553
IL15	2.63E+01	0.000231128		LINC02560	-57.1664	3.57E-05
ADCY4	26.3002	0.00139441		SPRR2F	-57.0281	0.00139548
LINC01715	26.2097	0.000120016		FRMPD1	-56.4857	0.00308137
CDNF	2.58E+01	7.10E-05		MYRF	-55.2769	0.000168731
RPL23AP87	25.714	7.46E-08		UPK1A	-54.6537	0.000447934
UPK2	25.7078	0.00348375		CXCL14	-54.6169	0.000421117
OR10H1	25.6329	0.000310234		TMEM63C	-54.3291	0.00438333
LOC388242	2.56E+01	0.00108328		SLC15A1	-54.3009	0.00021185
LOC613038	25.6208	0.00108328		KRT78	-53.2729	5.62E-05
LOC100289495	2.53E+01	0.000382092		METTL7A	-52.909	0.00114689
KLF3-AS1	25.2428	0.00118528		CPM	-51.8402	4.34E-05
ARFGEF3	25.0281	6.18E-05		CARMIL3	-51.7249	0.000577465
RHPN1-AS1	24.8736	0.000116618		CIDEA	-51.5071	0.000157517
FBXO15	2.48E+01	3.32E-05		CYP4B1	-51.2317	0.00013308
MALINC1	24.803	6.79E-06		IL1F10	-50.4905	2.66E-06
CBX6	24.7976	5.64E-07		SLC1A4	-49.9968	0.000275204
FAS	2.46E+01	6.66E-06		LGALS7	-48.8423	0.00016193
GLIPR1L2	24.6295	0.000313194		S100A8	-48.3323	2.72E-05
DNAJC27-AS1	24.4337	0.000495174		SPRR1A	-47.8962	3.58E-05
LINC02535	24.4159	0.00179211		BBOX1	-47.6586	0.000967737
LINC00578	24.3732	0.00115723		SAMD5	-46.6523	0.000503092
SAMD12-AS1	24.1708	0.000432012		FAM89A	-46.5968	6.55E-05
KLLN	24.1572	0.000470733		LGALS7B	-46.5277	8.27E-06
TLR1	24.0886	3.15E-05		GDF7	-46.1984	0.000741393
EFCAB12	2.40E+01	0.00106568		CRABP2	-44.594	1.38E-05
LAMA2	23.9523	0.000336029		FCHO1	-44.378	0.000219779
LINC01732	23.7485	0.00168385		FABP4	-43.1286	0.000661878
LINC002481	2.36E+01	0.00015242		AKR1C2	-42.7885	7.64E-06
CBLN3	2.34E+01	0.000209212		LINC00365	-42.6171	0.00273807
MAN1B1-DT	23.3646	0.000377307		BCL11A	-42.5484	0.00147767
ABCB9	23.3019	6.46E-06		RAPGEF4	-41.6753	0.000479159
TMEM269	23.293	0.0016712		LINC01206	-41.0898	0.00149983
C2CD4A	23.2642	0.00150741		SPINK5	-41.023	0.000354653
LOC101928068	2.32E+01	0.000669363		NIPAL4	-40.876	1.03E-05
LOC100288748	2.32E+01	1.30E-05		SLC6A14	-40.6733	1.55E-05
MICB-DT	2.30E+01	0.00130189		LINC01094	-40.6512	6.99E-06
CXCL8	2.29E+01	1.13E-05		USH1G	-40.5298	0.00100081
LINC00184	22.859	0.000341658		NPR2	-40.3561	2.51E-05
ENKUR	2.28E+01	0.00418166		S1PR5	-40.2393	0.00153716
DPP4	2.28E+01	0.00124501		DLX5	-40.1807	0.00386534
CD163L1	22.4707	0.000356284		RASD2	-39.9825	0.000145482
TNKS2-AS1	22.4615	1.26E-05		KRT6B	-39.7676	1.38E-05
CASQ2	22.4305	0.00367691		LGALSL	-39.6824	8.13E-06
ZNF488	22.3113	0.000420484		TMEM45A	-39.6512	0.000229671
METTL27	22.2183	0.00332631		XKRX	-38.9749	0.000579727
CD79A	21.9614	0.00130109		SERPINB4	-38.584	1.63E-05
MUC16	21.9284	0.000711963		FRY	-38.4026	1.23E-05
MUC19	21.8698	0.00142263		AIF1L	-38.2571	4.46E-05
SYT14	2.18E+01	0.001076		AKR1C3	-38.2362	3.28E-05
CLDN3	2.17E+01	0.00131882		KCTD15	-38.1433	1.81E-05
IGSF11	21.667	0.00262457		SEPTIN3	-37.9325	0.00196162
NT5E	2.17E+01	0.00149024		GLRX	-37.6633	0.000503481
LOC101928728	21.4756	0.000898288		SLC6A2	-37.3086	0.00020544
TIPARP-AS1	2.11E+01	0.000453696		CNFN	-37.1636	0.000293422
LINC00519	21.078	0.00015987		CYBRD1	-36.7883	9.42E-05
ECT2L	21.0369	2.13E-05		SCNN1B	-36.4512	0.00113233
LRRC46	20.9909	0.000832309		RUNDC3A	-36.1883	0.000611671
PDE4C	2.10E+01	6.64E-06		PALMD	-36.0369	3.10E-05
BMP6	20.9219	1.47E-05		NES	-36.0304	5.40E-05
SLC15A3	20.8626	0.00434952		GFRA1	-35.1391	0.00431826
C19orf38	20.6846	0.000821311		NFATC2	-35.1208	0.000100536
HLA-H	20.5948	0.000497734		CEACAM7	-34.5564	0.00185865
GUCA1B	20.5367	2.55E-07		CDHR1	-34.4836	0.000383775
SERTAD4	2.05E+01	0.00203894		LRRC75B	-34.4636	0.00349108
RRM2B	2.04E+01	1.80E-06		AKR1C1	-34.3686	2.61E-05
ID2-AS1	20.3472	8.51E-06		ESYT3	-34.3678	0.00382165
NCMAP	2.03E+01	0.00132535		TENM2	-34.0289	0.000112869
PLA2G10	20.1412	0.000115952		PI3	-33.8194	0.000227055
IL15RA	19.9766	0.000171172		SERPINB11	-33.4429	0.000249606
MST1P2	19.933	0.000311182		ARRB1	-33.3087	0.000218863
SRRM2-AS1	1.98E+01	0.000506482		TMPRSS11A	-33.2497	0.00102468
CDRT4	1.97E+01	0.000550796		GNG4	-33.1116	5.85E-05
CBX3P2	19.719	0.00318335		RNF225	-32.7351	0.000911743
RPGRIP1	19.6993	1.80E-05		HCG22	-32.4536	0.00010075
PGF	1.97E+01	2.91E-05		LINC01224	-32.2591	0.00179266
TNFRSF10D	19.4539	5.35E-05		CD36	-32.2342	0.000115774
LINC00880	19.3389	0.000986241		SLC46A2	-32.1786	0.000177704
NPIPB6	19.3207	0.000262089		GJB2	-31.8263	9.68E-06
SEC14L5	1.90E+01	2.16E-05		PALD1	-31.822	0.0014926
ASIC3	18.4923	0.00119657		SPRR2D	-31.6408	0.000583216
SAP30L-AS1	1.85E+01	8.09E-05		P2RY1	-31.3837	0.000114287
TRIM74	1.85E+01	0.000200359		ALOXE3	-31.3064	0.000123293
MAJIN	18.3051	0.00147536		IL36G	-31.144	0.000277732
ATF3	18.2874	0.000410296		RBP7	-31.0879	0.000333235
CATSPERG	1.82E+01	2.17E-05		SULT1E1	-30.7692	0.00363722
GPR35	18.2118	0.000744238		S100A7	-30.7562	0.000665545
LINC01251	18.1988	0.000186612		TCEA3	-30.3365	0.00185909
KLF9	18.1503	3.72E-05		TUBB2A	-30.1885	9.13E-05
COL28A1	18.1225	0.00349042		APCDD1L-DT	-30.111	0.00326963
SEMA3E	1.81E+01	0.000527648		WFDC21P	-30.0264	0.000311842
LINC02029	18.0475	0.00201793		NMRAL2P	-29.4914	5.45E-05
CDKL3	18.0372	0.00193786		GPRIN2	-29.4883	0.000225222
DLGAP1-AS2	18.015	0.000860343		CHRNA3	-29.4083	0.00185298
LINC00449	1.80E+01	0.000866049		TMPRSS11B	-29.0759	0.00234816
CDKN2B-AS1	17.7674	3.91E-06		HMOX1	-28.9422	0.000152095
BDNF-AS	17.751	0.000753731		LOC101929331	-28.8643	0.000147934
FAM81A	17.7225	0.00088349		PLXDC2	-28.8439	0.000143596
ITLN2	1.77E+01	0.00133655		ACSBG1	-28.8192	0.000479026
MYO15A	1.77E+01	4.67E-05		RASAL1	-28.7014	6.06E-05
TENT5A	17.69	7.02E-06		FCHSD1	-28.5775	7.03E-05
LINC01588	17.6475	9.94E-06		LCE5A	-28.3042	0.00282247
MEP1A	17.6047	0.00221964		ANKFN1	-28.1955	0.00137987
ACKR2	17.5409	0.000236984		HOMER2	-28.0388	1.26E-05
FER1L6	17.4836	0.000282595		FOXN1	-27.7895	0.000408634
HOXA-AS2	17.4488	4.57E-06		SLC29A4	-27.3732	0.000176388
IRF1	17.4044	0.000179712		ACP7	-27.3386	6.99E-05
BIK	17.3376	9.73E-05		APOL4	-27.1694	0.000159267
BAALC-AS1	17.1093	0.000164809		BOC	-27.147	0.00266382
ERAP2	17.0219	5.43E-05		CAPNS2	-27.032	5.99E-06
SULF2	16.9927	5.60E-05		CCDC8	-26.9583	0.000342803
PAPPA	1.68E+01	2.44E-05		BLMH	-26.8979	0.000444277
HOTAIR	16.8388	0.00084496		RHCG	-26.3406	7.71E-06
ASB9	16.8301	0.00173718		APOB	-26.2884	0.00372702
SLAMF9	1.68E+01	0.00101324		SPRR1B	-26.2362	3.00E-05
PCNA	16.7723	2.27E-05		GLB1L2	-26.1464	0.000308342
DRC3	16.7514	0.000133068		FOXP2	-25.9742	0.00162182
RPSAP52	16.7319	0.00436037		MAB21L3	-25.9271	4.70E-05
NTN4	1.67E+01	1.38E-06		TMEM37	-25.888	0.00391379
LOC102723665	1.66E+01	0.0012095		SLC7A4	-25.8156	2.57E-05
AQP7	1.66E+01	0.00174793		SPRR4	-25.7966	0.000432253
CXCL6	16.588	0.000287391		SERPINB12	-25.7414	6.47E-05
CAMK2N1	16.4511	7.73E-05		CCDC3	-25.706	0.000289944
LOC101929762	16.366	0.00180298		ARHGAP40	-25.6736	4.60E-05
CA3-AS1	1.63E+01	0.000147172		KIF26B	-25.673	0.000531234
LOC100507634	1.63E+01	0.000889254		LINC02159	-25.4889	0.000166011
SLC35G6	16.2495	0.00103752		S100A9	-25.4578	0.000199453
KLRD1	1.62E+01	0.000307334		INSYN2B	-25.343	5.21E-05
PRKG1-AS1	16.2042	0.00114296		KRT75	-25.2375	0.00288644
SSPN	16.1737	5.11E-05		TMEM238L	-25.2038	0.00112537
TSGA10	1.61E+01	1.11E-05		CRYAB	-24.5157	0.000598506
SYCE2	16.0931	0.000744139		RASGRP1	-24.4621	0.000213148
LINC00663	1.60E+01	0.000248941		SMPD3	-24.334	0.00184098
LINC00886	16.0138	0.000238465		EFR3B	-24.3134	0.000327305
TF	1.60E+01	0.00440897		SULT2B1	-24.2517	3.83E-05
CRACR2B	15.9803	0.000258934		ASAP3	-24.1308	0.000279088
REM2	15.8977	0.000441938		KRT6A	-24.1017	1.21E-05
LOC101927911	15.888	3.72E-05		AKR1B10	-24.0449	0.000381921
LINC00342	1.58E+01	0.000623343		MECOM-AS1	-24.027	0.0028709
LOC644285	15.826	0.00123279		PHGDH	-23.98	0.000157245
TRHDE	15.802	0.00120194		ANXA9	-23.8827	1.69E-08
HLA-C	1.57E+01	0.000260914		HS3ST6	-23.393	0.000552558
LOC101927811	15.7213	0.000127641		FETUB	-23.1706	0.000262146
COMP	1.57E+01	2.17E-05		KRTDAP	-23.0103	0.000122258
RARB	1.56E+01	0.00155339		CYP39A1	-22.7701	2.05E-05
STKLD1	1.56E+01	0.00180874		PCSK9	-22.6956	0.00105146
CLDN23	15.5689	3.21E-06		AZGP1	-22.6587	0.00265618
SFR1	15.5143	1.30E-05		PNLIPRP3	-22.6296	2.87E-05
RASGRF1	1.55E+01	3.80E-05		GGT8P	-22.5556	1.84E-05
ABCD1	15.4581	0.0013662		NLRP10	-22.5153	0.00191362
WNK4	15.4063	0.00188815		ELF5	-22.4019	0.000104146
MAP3K14-AS1	1.54E+01	9.87E-06		BICC1	-21.9387	0.000152919
UBR5-AS1	1.53E+01	0.000532732		C12orf56	-21.6361	0.00143039
B2M	1.52E+01	0.00140169		USP2	-21.5823	0.000180534
RAD51AP2	1.52E+01	0.00180536		GPSM1	-21.4418	0.000449782
NEDD9	1.52E+01	7.63E-05		SPRR3	-21.397	0.000200696
FCGBP	15.1477	5.25E-05		GFOD1	-21.3782	1.85E-05
RBM26-AS1	15.0437	0.000330894		GLTP	-21.3556	1.84E-06
ARL14	1.50E+01	0.000689322		SERPINB13	-21.2267	3.31E-06
KRT8	14.9936	0.000298092		LRRC20	-21.1833	2.80E-05
NKAPL	1.50E+01	0.00133973		ADTRP	-20.9546	1.97E-05
LOC107986163	1.49E+01	0.000360956		PLBD1-AS1	-20.93	0.000437334
BHLHE40-AS1	1.48E+01	0.000269754		GJA1	-20.8356	2.71E-05
FLJ37453	1.48E+01	0.000797412		RAPGEFL1	-20.8083	1.27E-05
ANKRD36C	1.47E+01	7.18E-05		ASIC1	-20.7087	0.00360605
LINC00857	14.7081	2.60E-05		NUPR1	-20.7017	0.000149322
P4HTM	1.47E+01	1.89E-05		LINC01322	-20.692	0.00141526
HEXA-AS1	14.6208	0.00189785		ENDOU	-20.5807	1.91E-05
TAS1R3	14.6201	0.00198347		ALOX15B	-20.525	0.000856557
GSN-AS1	14.4793	0.00383305		HKDC1	-20.4395	0.000259586
LINC01679	14.4567	0.000110963		ELOVL3	-20.4071	0.00421579
C1QTNF1	1.44E+01	0.000418938		KLK12	-20.3622	0.000243464
LRRC4	14.2893	0.00257016		SQLE	-20.2723	7.66E-05
DUSP4	14.2507	0.00116335		KLK14	-20.2395	0.00089098
NPIPB2	14.2504	0.000293531		NOD2	-20.2335	0.000145987
MB	1.42E+01	0.000486044		ZNF662	-20.205	0.000125025
STEAP3	14.1694	2.16E-06		S100A12	-20.0583	0.00307055
TNFSF9	1.41E+01	3.38E-05		IL33	-20.046	0.00352475
SPATA18	14.1135	7.15E-07		SLC47A1	-20.002	0.00320427
LOC112543491	13.9234	0.00143092		SLC16A5	-19.9063	0.00431691
PDCD4-AS1	13.9053	0.00210221		GAS7	-19.9036	0.000394067
CNTNAP1	1.39E+01	0.00309004		CYP4F12	-19.7475	0.00121644
LOC100288798	13.855	6.90E-05		LAMB4	-19.6917	0.00177257
CD70	1.39E+01	0.0010845		THEM5	-19.6758	4.32E-05
LOC101928504	13.8044	0.000103924		EGR2	-19.6657	7.85E-05
DKK1	1.37E+01	0.000345752		SDK2	-19.6502	2.70E-05
TONSL-AS1	13.7102	0.00097468		CSPG5	-19.5461	0.00416877
ABCC11	13.701	0.000758801		SEMA4D	-19.4934	2.05E-05
C11orf91	1.37E+01	0.00017716		CMTM8	-19.326	0.00162318
ZNF702P	13.6549	0.00276791		FAM83C	-19.3242	8.49E-05
PLS1	1.36E+01	9.69E-05		PSORS1C2	-19.3068	7.93E-05
DSG2	1.36E+01	2.23E-05		PLA2G4B	-19.2938	2.75E-05
PPP1R26-AS1	13.6245	0.000378785		SMOX	-19.1855	2.34E-05
GDF15	13.5911	6.84E-05		RIMS3	-19.173	0.000214539
TSPAN15	1.36E+01	1.24E-05		DLL1	-19.1007	0.000716892
DNAH10	13.5559	0.0011002		PDE9A	-18.8595	0.00167231
DEPP1	1.35E+01	0.0025571		CNKSR3	-18.8099	4.46E-05
HLA-J	13.464	0.000846238		NXPH3	-18.7303	0.000118836
LINC00638	1.34E+01	0.000640756		IL36RN	-18.6698	5.29E-05
LINC01451	13.4217	0.00147515		LRP4	-18.4512	0.00161762
FYB1	13.3639	0.000397268		SNPH	-18.4503	0.000584573
UBAC2-AS1	1.34E+01	0.000247824		LINC01133	-18.3764	2.00E-05
FHAD1	13.3177	9.48E-05		KRT16	-18.1644	0.00023152
NEU1	13.2161	4.78E-05		ACOT11	-18.0481	2.97E-05
SERPINB10	1.32E+01	0.000143472		TENT5B	-18.0241	8.78E-05
LOC105371763	1.32E+01	0.000636438		SYNGR1	-18.0229	0.000396218
NTN5	1.32E+01	0.00362187		MIR205HG	-17.9688	7.93E-07
STAG3	1.31E+01	0.00118812		FAM83D	-17.9578	0.000291294
CXCL1	13.063	0.000831112		IGFL2	-17.9262	1.12E-06
TG	1.31E+01	0.00054481		SLC9A9	-17.9002	0.000180525
SPRED3	13.0123	5.68E-05		TNNT1	-17.8159	3.97E-05
CRPPA	12.9991	8.81E-05		GSDMA	-17.6847	0.000773097
CEL	12.9835	5.09E-06		NPAS1	-17.394	0.000601148
NLRC5	12.8319	0.000827517		IGFL3	-17.3737	0.000355272
RPL13AP20	1.28E+01	0.000275386		OLFM2	-17.3019	6.96E-06
CA5BP1-CA5B	1.28E+01	6.07E-06		NGEF	-17.2709	0.00109486
C16orf71	12.8201	4.67E-05		TCAF2	-17.2086	0.00151848
MICA	12.816	0.000124475		RASSF9	-17.1682	0.000286868
CCN4	12.8027	2.53E-05		EDDM13	-17.1165	9.88E-05
ST3GAL4	12.757	1.38E-05		COL8A2	-16.8591	0.00361251
LINC01909	12.7261	0.00289719		JDP2	-16.7995	0.000301932
HLA-L	12.6608	0.00150129		KRT23	-16.7951	0.000312023
ARSB	12.6293	0.000352265		A2ML1	-16.794	5.23E-05
HERC5	1.26E+01	0.00309713		KCNS1	-16.7928	0.00015335
EIF2AK3-DT	12.5755	9.56E-05		IL27RA	-16.7926	0.00112674
DUSP28	12.5655	0.000100062		ALDH3B2	-16.7871	1.40E-05
LOC101929268	1.25E+01	0.000803318		NT5DC2	-16.7613	2.54E-05
LOC100507564	12.4938	7.44E-05		SLC13A4	-16.7104	0.000256658
PTGES	1.25E+01	0.00108788		CAMK1D	-16.5922	3.22E-05
GALNT7	1.24E+01	2.29E-05		SLC22A3	-16.5155	0.000328293
CATSPERB	1.23E+01	0.00388794		NDUFA4L2	-16.3814	0.00384937
BEST3	12.3144	0.00202444		KRT17	-16.3587	3.38E-05
CCT6B	12.2218	8.28E-05		IL20RB	-16.3505	0.000107241
KIAA0040	12.1805	0.000107126		RAB3D	-16.2629	1.68E-05
SLC4A9	12.1699	0.000165938		CWH43	-16.2301	0.000153485
LOC645967	12.1646	0.000276327		ME1	-15.9786	5.24E-05
LOC283045	1.22E+01	0.000559585		KRT14	-15.8787	0.000181503
CILP2	12.1584	0.00161426		ACP3	-15.8752	2.95E-05
LINC00942	12.1333	0.00111206		SHISAL1	-15.8207	0.00115684
NKILA	12.131	8.21E-06		SEMA6D	-15.7785	0.00323829
TLE6	12.0979	0.000413239		SMO	-15.7515	5.85E-05
BCL2L11	12.0888	0.000110428		MTSS1	-15.6939	3.28E-06
ACER2	12.0269	1.56E-05		SLC16A6	-15.6285	0.000388409
CASP7	11.9842	3.45E-06		SGPP2	-15.6182	1.89E-05
DHX58	11.9796	0.000107816		TRIM7	-15.5999	0.000112608
LINC02580	11.967	5.48E-05		CYP4F11	-15.5573	0.00126699
