AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
MYT1	215822_x_at	7.00	6.55	-0.46	-0.30	5.90	8.69	0.44	205	9	92	127
CHRNA4	216886_at	4.89	4.49	-0.40	-0.28	3.72	6.79	0.52	194	12	101	115
PSCD3	236136_at	6.63	6.09	-0.54	-0.32	5.22	8.16	0.46	209	9	65	154
FKBP2	203391_at	8.24	8.82	0.58	0.22	6.55	9.92	0.64	32	166	35	27
PRKAA1	225984_at	6.21	7.44	1.23	0.37	3.49	8.92	0.82	13	205	12	11
BANF1	210125_s_at	9.56	9.81	0.26	0.10	6.70	11.22	0.84	75	111	73	44
AGR3	228241_at	9.95	10.68	0.74	0.20	3.81	12.43	1.23	44	161	41	26
IL17B	220273_at	5.93	5.27	-0.66	-0.33	4.29	8.92	0.58	209	8	55	165
KCNS2	1554212_s_at	6.86	6.25	-0.61	-0.29	5.43	8.66	0.51	209	13	46	169
POLR2E	213887_s_at	7.60	8.15	0.55	0.08	4.86	9.82	1.27	65	155	20	53
PSMA7	216088_s_at	7.39	7.97	0.58	0.27	4.66	9.24	0.84	39	149	59	20
LOC100132999	229872_s_at	8.22	8.38	0.17	0.11	5.15	9.84	0.78	85	90	98	40
LOC100129069	234121_at	4.83	4.32	-0.50	-0.26	3.59	6.61	0.47	205	11	66	151
CKS1B	201897_s_at	8.60	8.95	0.35	0.28	5.95	10.38	0.81	57	102	102	24
GPBP1L1	1569320_at	5.77	5.84	0.07	0.07	3.25	8.66	1.01	104	82	82	64
SPIRE1	225018_at	5.58	5.24	-0.33	-0.23	3.62	7.60	0.72	171	28	98	102
C7orf55	226781_at	7.23	7.43	0.20	0.23	4.24	9.40	0.75	76	78	111	39
NXT2	209628_at	6.47	7.60	1.14	0.41	3.83	10.02	0.95	16	195	22	11
NUMB	209073_s_at	7.52	7.86	0.34	0.12	5.00	9.01	0.71	57	124	76	28
SLC29A1	201801_s_at	6.38	5.96	-0.42	-0.13	4.03	8.83	1.00	164	49	47	132
BMPR1A	213578_at	7.54	8.15	0.62	0.29	4.27	10.19	0.87	33	157	56	15
DIXDC1	214724_at	6.60	6.59	-0.01	0.00	4.30	10.03	0.92	116	63	101	64
FLT4	234379_at	6.23	5.71	-0.52	-0.29	4.97	8.66	0.45	209	7	67	154
APAF1	204859_s_at	7.55	7.47	-0.08	-0.08	5.39	9.17	0.74	129	47	126	55
RPL15	221476_s_at	11.50	12.13	0.62	0.24	7.97	13.03	0.74	30	168	45	15
ACOX3	204241_at	6.78	6.57	-0.21	-0.14	4.76	8.34	0.69	154	37	108	83
STAT2	225636_at	7.54	8.79	1.25	0.43	5.47	10.26	0.59	6	218	6	4
POLR3K	218866_s_at	7.51	7.64	0.13	0.10	4.92	9.33	0.79	92	77	106	45
LOC100130456	1564021_at	6.20	5.80	-0.40	-0.29	4.38	7.62	0.55	192	17	102	109
C2	203052_at	7.43	7.16	-0.27	-0.20	5.93	9.10	0.67	166	29	104	95
DHX33	222875_at	7.40	7.68	0.28	0.20	4.82	9.40	0.84	70	94	100	34
CC2D2B	243534_at	7.09	6.64	-0.45	-0.22	5.01	8.90	0.62	190	18	76	134
HNRNPA3	211932_at	8.01	9.21	1.20	0.37	4.82	10.38	0.74	11	207	13	8
FOXF2	206377_at	6.70	6.53	-0.17	-0.14	4.31	8.97	0.89	140	58	84	86
DGCR6L	214024_s_at	6.07	5.46	-0.61	-0.35	4.56	7.66	0.45	213	10	46	172
LOC440895	229095_s_at	4.69	3.99	-0.70	-0.27	3.31	7.40	0.50	213	8	32	188
TFF2	214476_at	5.52	5.32	-0.20	-0.16	4.06	8.18	0.66	154	33	114	81
VPS36	222478_at	7.53	9.14	1.61	0.32	4.35	11.00	0.91	10	214	4	10
TNFAIP1	201207_at	7.36	7.91	0.56	0.35	4.34	8.97	0.62	26	143	74	11
MRPL2	229884_s_at	6.64	6.89	0.25	0.19	4.26	8.35	0.74	69	96	100	32
IGF2	202409_at	6.02	6.03	0.02	0.02	4.40	9.48	0.75	111	51	119	58
PLAC7	239583_x_at	6.35	5.71	-0.64	-0.35	4.89	7.79	0.47	213	9	48	171
STK38	1553117_a_at	7.36	7.93	0.57	0.07	5.11	9.62	1.32	66	151	16	61
LOC100130648	215881_x_at	6.17	5.55	-0.62	-0.33	4.78	7.72	0.49	210	9	48	171
CAST	207467_x_at	8.96	10.30	1.34	0.28	5.94	11.21	0.73	10	214	6	8
ALPP	211619_s_at	6.46	5.75	-0.71	-0.36	4.92	8.69	0.53	213	9	35	184
MDGA1	242757_at	6.09	5.39	-0.70	-0.31	4.50	8.32	0.53	211	10	41	177
SEC16A	215696_s_at	7.19	8.62	1.43	0.47	5.16	10.18	0.73	7	214	7	7
BSG	208677_s_at	9.61	10.19	0.58	0.15	6.33	12.15	1.23	59	149	27	52
FLJ33065	1556248_at	6.83	6.10	-0.73	-0.34	5.19	8.72	0.50	214	10	31	187
PRRT1	229890_at	5.91	5.53	-0.38	-0.22	4.60	7.64	0.60	183	23	81	124
CHCHD3	217972_at	7.05	8.62	1.57	0.34	4.30	9.77	0.72	7	217	4	7
SLC25A12	203339_at	6.98	6.66	-0.32	-0.18	4.42	8.60	0.71	169	35	88	105
MTG1	238333_s_at	6.26	5.95	-0.31	-0.23	4.77	8.73	0.59	177	23	103	102
MDFIC	211675_s_at	7.53	7.88	0.35	0.17	4.64	10.39	0.98	67	118	73	37
PCNX	229287_at	5.87	5.93	0.06	0.06	3.91	7.70	0.73	102	50	131	47
VCAM1	203868_s_at	6.37	6.59	0.21	0.05	3.68	9.26	1.33	93	112	43	73
MAGEA6	214612_x_at	6.44	3.71	-2.73	-0.24	3.14	12.02	0.84	224	4	0	224
ZNF254	236133_x_at	4.91	4.02	-0.88	-0.30	3.03	6.82	0.73	207	16	17	195
MKRN1	209845_at	7.27	8.86	1.58	0.26	4.23	9.80	0.81	9	217	3	8
GOLGA4	201567_s_at	8.63	9.22	0.59	0.30	5.62	10.27	0.66	26	152	64	12
RPS5	200024_at	12.13	12.59	0.46	0.14	9.90	13.65	0.80	52	150	40	38
NUFIP1	205136_s_at	6.69	5.84	-0.84	-0.33	4.91	8.23	0.56	215	11	26	191
HSPB6	226304_at	6.20	5.21	-1.00	-0.35	3.68	9.72	0.98	206	13	31	184
LRRC1	218816_at	8.72	9.01	0.29	0.15	6.42	10.51	0.84	70	112	80	36
GAS7	202191_s_at	6.31	6.28	-0.03	-0.05	4.61	8.71	0.70	121	52	114	62
FAM119A	235177_at	6.27	6.46	0.19	0.15	4.10	8.01	0.71	78	84	110	34
CYBB	203923_s_at	6.86	6.85	-0.01	-0.03	4.84	9.66	0.91	116	69	86	73
SEC22B	209206_at	7.79	8.22	0.44	0.27	4.49	9.65	0.71	41	127	86	15
HHLA2	220812_s_at	6.91	7.26	0.35	0.15	3.66	9.97	1.39	82	117	42	69
PTGER3	211909_x_at	4.67	4.15	-0.52	-0.28	2.75	6.61	0.70	191	25	59	144
B3GALNT2	226233_at	7.31	7.80	0.50	0.37	4.63	9.24	0.70	34	122	92	14
ANKH	223092_at	9.24	9.77	0.53	0.25	5.11	11.24	0.81	39	148	64	16
KTN1	200914_x_at	8.19	9.59	1.40	0.39	3.74	11.26	0.92	11	212	9	7
POU3F1	208345_s_at	4.96	4.60	-0.36	-0.24	3.87	6.73	0.47	193	12	113	103
C1orf53	1558508_a_at	6.35	6.33	-0.02	0.00	3.49	9.10	1.14	117	70	85	73
CAMK2G	212669_at	6.85	7.03	0.18	0.23	5.65	8.95	0.64	76	60	132	36
DAPP1	222858_s_at	6.45	6.41	-0.05	-0.04	4.47	8.09	0.74	123	60	94	74
HMGB3	225601_at	7.63	7.69	0.06	0.07	5.61	9.97	0.74	103	64	118	46
CFI	1555564_a_at	5.34	4.48	-0.87	-0.24	3.19	8.04	0.97	196	26	19	183
CD69	209795_at	5.59	5.40	-0.19	-0.07	3.14	9.37	1.34	133	67	47	114
TUSC1	227388_at	8.49	9.31	0.82	0.36	6.35	10.61	0.57	14	197	21	10
EIF2S3	224935_at	7.98	9.68	1.70	0.41	4.53	11.63	0.90	8	216	5	7
GABARAPL2	209046_s_at	9.53	10.21	0.68	0.24	6.80	11.11	0.68	26	171	42	15
ARPC4	211672_s_at	7.06	7.78	0.72	0.06	4.03	9.95	1.77	69	152	10	66
LOC100130360	243179_at	6.09	4.81	-1.28	-0.34	3.41	7.84	0.76	217	10	9	209
PSME1	200814_at	10.15	10.91	0.77	0.37	8.38	12.04	0.51	13	188	31	9
CD8A	205758_at	7.31	7.16	-0.15	-0.11	5.35	10.15	0.81	139	52	92	84
EXOC2	226270_at	6.16	6.18	0.02	0.03	4.00	7.75	0.61	109	35	154	39
VSNL1	203798_s_at	5.23	4.63	-0.59	-0.18	3.27	7.68	1.04	176	40	33	155
PCGF5	229194_at	7.89	8.31	0.43	0.20	4.53	10.39	0.99	56	123	80	25
EPHX2	209368_at	8.40	8.58	0.18	0.08	6.22	10.05	0.77	84	97	86	45
IGFBP2	202718_at	8.57	8.29	-0.28	-0.10	4.07	12.08	1.68	136	74	40	114
SCYE1	202541_at	7.08	8.41	1.33	0.29	4.38	9.52	0.95	16	207	9	12
LOC91431	228859_at	4.87	4.45	-0.42	-0.30	3.62	6.79	0.47	200	11	97	120
ELK1	210850_s_at	5.49	4.80	-0.68	-0.30	3.92	7.27	0.56	209	16	40	172
GJB5	206156_at	4.91	4.56	-0.35	-0.24	3.72	6.74	0.50	189	16	110	102
COPS8	202141_s_at	7.79	8.86	1.08	0.39	4.50	10.14	0.76	13	202	17	9
ACAT1	205412_at	9.65	10.25	0.60	0.27	5.96	11.48	0.92	41	147	61	20
PIK3C2A	213070_at	7.60	8.92	1.32	0.30	4.63	10.63	0.86	13	210	6	12
RNF126	205748_s_at	7.09	7.49	0.41	0.31	5.82	9.78	0.61	40	107	96	25
ANKRD13C	223418_x_at	6.46	7.14	0.67	0.24	3.46	9.39	1.01	41	160	42	26
PCDH19	227282_at	4.57	4.40	-0.17	-0.10	3.16	6.23	0.65	148	36	116	76
IKBKAP	202491_s_at	6.27	7.43	1.16	0.33	3.74	9.03	0.90	17	201	15	12
MGC29506	223565_at	6.05	6.18	0.14	0.05	3.79	9.52	1.02	95	80	93	55
CDCA5	224753_at	7.02	6.96	-0.06	-0.07	5.16	8.62	0.69	126	53	110	65
PLEKHF2	218640_s_at	7.80	8.50	0.70	0.25	4.29	10.26	0.97	38	159	46	23
NT5E	203939_at	8.48	8.70	0.22	0.15	5.25	10.57	0.97	82	101	88	39
GRB2	215075_s_at	7.48	8.03	0.55	0.32	5.95	8.97	0.48	20	151	64	13
GFRA4	234868_s_at	5.55	5.00	-0.55	-0.29	4.27	7.96	0.57	202	11	63	154
CLTA	216295_s_at	9.92	10.99	1.06	0.29	7.37	11.97	0.63	11	211	9	8
TRIM44	217759_at	8.11	8.50	0.39	0.24	5.84	9.97	0.64	44	116	91	21
ZRF1	213097_s_at	8.65	8.64	-0.01	0.00	6.15	10.19	0.64	117	48	145	35
MIRN155	229437_at	4.63	4.33	-0.30	-0.21	3.19	7.27	0.68	169	26	101	101
SPATA5L1	222163_s_at	7.17	7.74	0.57	0.32	4.76	9.18	0.79	36	142	66	20
SDHALP2	226693_at	7.26	7.33	0.07	0.06	5.77	9.83	0.77	101	67	107	54
CD19	206398_s_at	6.08	5.81	-0.27	-0.14	4.56	8.32	0.78	157	42	79	107
LOC391356	226243_at	8.76	9.56	0.80	0.36	6.14	10.68	0.72	20	174	40	14
ADH4	223781_x_at	7.28	6.63	-0.65	-0.37	5.38	9.13	0.56	209	12	52	164
HNRNPA2B1	205292_s_at	10.28	11.10	0.82	0.16	6.75	12.18	0.87	30	182	22	24
OSBP	201799_s_at	7.76	8.16	0.40	0.29	6.11	9.05	0.51	34	120	91	17
IFNGR1	211676_s_at	7.90	9.04	1.15	0.29	4.42	10.62	1.08	24	191	17	20
CPSF6	202469_s_at	7.19	8.61	1.42	0.35	4.21	9.66	0.79	10	215	6	7
EIF4G2	200004_at	10.74	11.80	1.06	0.25	8.04	12.54	0.58	11	214	7	7
SGK1	201739_at	9.57	9.74	0.17	0.11	6.40	12.76	1.43	98	98	53	77
COG2	203073_at	8.17	8.57	0.40	0.30	6.06	9.57	0.55	36	109	103	16
SORCS2	228720_at	5.61	5.22	-0.38	-0.33	4.23	7.62	0.51	195	12	111	105
LOC100133233	213888_s_at	6.05	5.86	-0.20	-0.19	3.85	7.99	0.87	145	48	95	85
LOC389834	244631_at	5.32	5.17	-0.15	-0.11	3.74	7.09	0.72	141	44	97	87
CDC14B	221556_at	6.91	7.41	0.50	0.23	3.95	9.28	0.91	49	137	63	28
PRSS3	213421_x_at	9.70	9.88	0.18	0.12	7.94	11.12	0.74	83	96	88	44
DYNLT3	203303_at	8.50	9.58	1.08	0.32	5.03	10.74	0.76	14	203	17	8
CCDC69	1553102_a_at	5.65	5.17	-0.48	-0.35	3.56	8.83	0.91	179	25	90	113
CLIP2	211031_s_at	6.78	7.07	0.29	0.23	5.00	8.69	0.74	64	96	96	36
LBA1	213261_at	7.15	7.25	0.10	0.05	5.30	8.89	0.74	96	82	90	56
ATP2C2	206043_s_at	7.91	8.30	0.39	0.27	5.84	9.88	0.72	50	118	87	23
RNH1	206050_s_at	8.39	8.72	0.33	0.28	6.61	9.44	0.51	42	102	109	17
HTATIP	214258_x_at	7.96	8.26	0.30	0.19	6.13	9.06	0.60	54	116	87	25
HERC2	217902_s_at	7.22	7.42	0.21	0.21	4.52	9.28	0.76	74	70	132	26
ADCY9	204497_at	7.87	8.19	0.32	0.15	5.37	9.96	0.90	70	123	52	53
C1orf56	221222_s_at	6.02	6.09	0.07	0.06	4.07	7.85	0.70	101	63	115	50
SRI	208920_at	7.69	7.87	0.19	0.04	4.32	9.83	1.12	92	111	53	64
ANKRD22	238439_at	8.10	8.07	-0.03	-0.01	4.68	10.53	1.19	117	78	63	87
ZDHHC2	222731_at	7.96	8.54	0.58	0.16	4.26	10.78	1.27	57	151	42	35
MIRN21	220990_s_at	8.07	10.13	2.05	0.34	4.49	11.36	0.89	7	220	2	6
NCOR1	200854_at	7.85	8.69	0.83	0.31	4.26	9.72	0.68	18	188	29	11
ANKRD36B	220940_at	6.27	6.44	0.16	0.14	4.07	8.54	0.82	86	74	105	49
WHSC1	209053_s_at	6.49	6.74	0.25	0.23	4.62	8.35	0.70	65	84	117	27
SAR1A	201542_at	8.14	9.27	1.13	0.38	6.03	10.28	0.64	9	210	11	7
IFITM2	201315_x_at	10.22	10.09	-0.13	-0.10	7.68	12.21	0.87	135	57	96	75
PRMT3	213320_at	6.52	6.51	-0.01	0.00	3.72	9.26	1.06	115	66	92	70
U2AF1	202858_at	10.17	10.55	0.38	0.23	8.20	11.80	0.60	44	117	88	23
HLF	204754_at	5.27	4.97	-0.31	-0.24	4.01	7.89	0.59	179	18	109	101
RPGRIP1L	213959_s_at	4.43	3.93	-0.50	-0.24	2.94	6.37	0.68	189	23	60	145
TXNDC15	220495_s_at	8.35	8.64	0.29	0.29	6.18	10.32	0.69	57	81	123	24
LOC730051	60794_f_at	4.91	4.70	-0.21	-0.13	2.90	7.43	0.98	142	54	73	101
MMD	203414_at	8.11	8.12	0.01	0.00	5.77	10.15	0.76	113	51	130	47
MRPS7	217932_at	8.31	8.68	0.37	0.19	5.73	10.08	0.71	52	121	84	23
MAP2K7	216206_x_at	5.74	5.65	-0.09	-0.09	3.78	7.80	0.64	135	40	126	62
ABCB10	223320_s_at	6.43	7.36	0.93	0.28	3.50	9.38	0.98	26	185	24	19
ZBTB16	205883_at	5.32	4.91	-0.40	-0.18	3.58	8.53	0.82	173	31	67	130
ATXN1L	227373_at	6.99	7.92	0.93	0.34	4.14	9.24	0.76	18	196	22	10
LOC339751	1558653_at	5.96	3.66	-2.30	-0.34	2.97	9.07	0.63	225	3	0	225
ARL1	201659_s_at	7.64	8.84	1.20	0.31	4.35	10.17	0.98	19	197	17	14
LDHB	213564_x_at	10.35	11.48	1.12	0.43	6.69	12.94	0.86	14	196	22	10
ASAH1	210980_s_at	8.57	9.65	1.08	0.33	5.97	11.02	0.79	16	203	14	11
DERL3	229721_x_at	7.04	7.04	-0.01	0.00	5.28	9.03	0.68	116	56	122	50
FBXW10	223870_at	5.74	5.23	-0.52	-0.32	4.32	7.80	0.51	204	11	73	144
CNOT6	222476_at	6.64	7.84	1.20	0.34	3.49	9.02	0.78	13	210	8	10
C3orf52	219474_at	7.56	7.64	0.08	0.06	5.27	10.10	0.91	101	73	98	57
EBAG9	204274_at	8.04	9.63	1.60	0.31	4.37	10.72	0.95	12	215	4	9
SPTBN1	200672_x_at	8.10	8.37	0.28	0.06	5.72	10.70	1.18	85	119	40	69
ORC4L	203351_s_at	7.66	8.91	1.25	0.30	5.57	10.41	0.74	11	208	11	9
SRPX2	205499_at	6.17	5.38	-0.79	-0.24	3.91	8.83	1.02	192	22	33	173
SPRR1B	205064_at	8.46	4.30	-4.16	-0.30	3.74	12.65	0.65	227	1	0	227
FOXA2	40284_at	6.32	6.48	0.16	0.07	3.74	9.11	1.03	93	94	79	55
COX6C	201754_at	11.50	11.89	0.39	0.07	9.05	12.96	0.67	51	152	49	27
DLG3	207732_s_at	6.92	7.00	0.07	0.07	4.99	8.32	0.68	99	71	108	49
DHX30	204355_at	6.41	7.15	0.74	0.27	4.18	8.20	0.73	26	177	31	20
SUPT7L	201837_s_at	7.18	7.82	0.64	0.33	4.98	8.69	0.55	19	165	52	11
MPZL1	201874_at	8.20	9.03	0.83	0.30	5.91	10.20	0.70	19	184	31	13
THUMPD1	206555_s_at	7.61	8.29	0.68	0.23	4.59	9.75	0.77	29	177	38	13
BRCA2	214727_at	4.34	3.97	-0.37	-0.20	2.92	6.05	0.61	181	26	77	125
LOC51057	231770_x_at	7.08	6.73	-0.35	-0.25	5.43	9.18	0.71	174	27	86	115
LOC440350	215921_at	5.31	5.27	-0.04	-0.03	3.15	7.30	0.85	121	63	103	62
GABBR1	205890_s_at	7.75	7.49	-0.26	-0.14	4.90	10.78	1.34	140	65	57	106
CENPA	204962_s_at	7.08	7.08	-0.00	0.00	4.56	9.39	1.10	114	75	84	69
MARCKSL1	200644_at	10.44	10.84	0.41	0.20	7.69	12.41	0.88	56	121	79	28
POPDC3	219926_at	4.84	4.46	-0.38	-0.20	3.61	8.34	0.59	187	15	86	127
ARFGEF1	216266_s_at	7.37	7.92	0.55	0.06	4.12	9.59	1.42	69	149	17	62
MXRA7	212509_s_at	9.17	9.06	-0.10	-0.11	6.49	11.99	0.86	132	43	123	62
RAD51AP1	204146_at	7.32	7.26	-0.06	-0.04	3.72	10.06	1.27	121	76	71	81
ZNF180	219495_s_at	5.75	5.75	0.00	0.00	3.94	8.03	0.74	113	39	140	49
LOC57228	209679_s_at	8.58	9.55	0.97	0.40	6.73	10.91	0.69	14	200	16	12
CSPP1	227105_at	5.92	6.63	0.72	0.36	3.21	9.80	1.16	39	141	61	26
TIMM9	218316_at	7.69	7.57	-0.12	-0.12	4.85	9.19	0.71	139	42	139	47
C11orf71	218789_s_at	6.45	6.83	0.38	0.17	3.67	8.27	0.77	54	115	86	27
ENAH	222433_at	8.39	8.48	0.08	0.07	4.32	10.62	1.05	102	78	102	48
LIG4	227766_at	5.12	5.37	0.25	0.18	3.03	6.90	0.73	69	91	103	34
E2F5	221586_s_at	6.65	6.55	-0.10	-0.08	4.32	8.43	0.83	131	57	93	78
TNN	215271_at	4.40	3.96	-0.44	-0.33	3.36	5.95	0.40	208	7	91	130
PPIG	208993_s_at	7.16	8.41	1.25	0.36	4.51	9.95	0.84	13	207	11	10
CWF19L2	228916_at	6.86	6.76	-0.10	-0.09	4.31	9.10	0.82	133	38	134	56
C7orf50	240147_at	6.75	6.41	-0.34	-0.33	5.16	8.36	0.55	186	19	116	93
SETD2	215038_s_at	6.30	6.81	0.52	0.25	4.09	7.91	0.62	33	148	61	19
FECH	203115_at	5.91	5.88	-0.04	-0.02	3.96	7.67	0.66	122	43	135	50
ZNF720	238510_at	6.32	6.94	0.62	0.39	3.46	8.26	0.68	26	154	59	15
CDC23	202892_at	7.09	7.57	0.48	0.33	3.79	9.70	0.90	45	120	90	18
PDE5A	227088_at	7.33	7.50	0.17	0.06	4.73	9.97	1.06	93	103	62	63
B3GNT2	219326_s_at	6.89	7.14	0.25	0.09	4.14	9.00	0.96	80	109	70	49
CPNE3	202119_s_at	8.62	10.09	1.47	0.25	5.32	11.06	0.84	11	212	8	8
MARCH1	219574_at	4.94	4.56	-0.38	-0.15	3.25	7.94	0.83	170	32	68	128
PROX1	228656_at	7.24	6.87	-0.37	-0.20	4.86	10.59	1.17	155	46	64	118
STK3	204068_at	7.34	7.20	-0.13	-0.15	4.09	9.30	0.75	140	42	120	66
KDELR2	200700_s_at	9.02	10.51	1.49	0.26	5.32	12.00	1.04	15	204	14	10
PRKAR1A	200603_at	8.58	10.27	1.70	0.31	5.18	11.82	0.91	9	215	6	7
BLVRA	203773_x_at	7.35	7.32	-0.03	-0.02	4.92	9.93	0.78	120	57	117	54
SAMD4B	227511_at	5.98	6.33	0.35	0.23	4.52	7.66	0.62	50	113	81	34
SLC35A5	218519_at	7.31	8.12	0.81	0.28	4.01	9.60	0.93	29	176	35	17
FLJ36840	231527_at	5.15	4.64	-0.51	-0.32	3.69	7.17	0.48	205	12	73	143
VNN3	220528_at	5.50	5.05	-0.45	-0.23	4.09	7.48	0.53	196	14	81	133
EGLN2	227147_s_at	5.10	4.76	-0.34	-0.30	3.73	7.34	0.51	189	14	129	85
JRK	217146_at	4.89	4.53	-0.36	-0.25	3.62	7.03	0.49	191	15	112	101
IFNA10	208261_x_at	4.71	3.97	-0.74	-0.37	3.29	6.13	0.32	223	3	27	198
FOXQ1	227475_at	7.66	6.71	-0.95	-0.07	4.29	11.45	2.11	164	57	10	161
LEMD3	218604_at	8.54	8.85	0.31	0.27	6.55	10.25	0.55	45	83	132	13
TMEM30A	217743_s_at	7.14	8.88	1.75	0.30	3.89	10.04	0.93	10	214	4	10
EIF4E	201435_s_at	8.05	8.82	0.77	0.19	4.06	10.52	1.18	43	162	38	28
SOX1	237472_at	5.45	4.41	-1.04	-0.24	3.76	7.55	0.58	218	8	14	206
FAM54A	228069_at	6.34	6.12	-0.22	-0.10	3.88	8.65	0.94	144	52	74	102
ZDHHC9	222451_s_at	7.49	8.29	0.80	0.35	4.41	9.69	0.89	29	180	31	17
LOC205251	228614_at	6.97	7.32	0.35	0.28	4.26	9.01	0.71	51	100	104	24
SPARC	212667_at	6.79	7.54	0.76	0.25	3.42	11.30	1.37	49	150	45	33
WDR20	227693_at	6.39	6.59	0.20	0.21	4.41	8.12	0.70	74	72	123	33
LRIG3	226908_at	6.53	6.91	0.39	0.21	3.71	8.65	0.97	63	125	71	32
GNL3L	205010_at	6.84	6.84	0.00	0.00	5.28	8.88	0.60	114	46	141	41
C14orf174	1557680_at	6.75	6.42	-0.33	-0.16	5.34	9.89	0.64	176	22	94	112
RNF183	235153_at	6.29	5.93	-0.36	-0.11	4.34	9.09	1.06	156	48	49	131
PHF16	204866_at	6.72	6.57	-0.16	-0.07	3.66	9.17	0.95	138	53	93	82
OBFC2A	233085_s_at	6.62	6.26	-0.36	-0.21	4.42	8.37	0.80	169	39	72	117
WDR4	241937_s_at	7.11	6.72	-0.39	-0.16	4.58	9.37	1.06	160	51	55	122
GTF2I	201065_s_at	8.73	9.24	0.51	0.32	5.97	10.78	0.74	38	129	76	23
POLR3C	209382_at	6.92	7.10	0.18	0.15	4.80	8.36	0.69	78	73	122	33
PARG	205060_at	7.92	7.66	-0.26	-0.25	6.04	9.31	0.56	173	21	131	76
THBS1	201110_s_at	6.50	7.29	0.79	0.25	3.23	10.03	1.23	43	161	37	30
C15orf5	208109_s_at	4.82	4.72	-0.10	-0.08	3.19	7.42	0.75	133	42	109	77
