	#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
1	39	49	(137,153)	Smoker GSE2125 GSE13896	GSE2125	0.68	GSE2125	C14-3	Hs	0.0159
2	39	49	(48,137,153)	Smoker GSE2125 GSE13896	GSE2125	0.72	GSE2125	C13-14-3	Hs	0.00274
0	39	15	(48)	Asthma GSE2125 GSE13896	GSE2125	0.55	GSE2125	C13	Hs	0.334
1	39	15	(137,153)	Asthma GSE2125 GSE13896	GSE2125	0.63	GSE2125	C14-3	Hs	0.133
2	39	15	(48,137,153)	Asthma GSE2125 GSE13896	GSE2125	0.66	GSE2125	C13-14-3	Hs	0.0809
0	39	12	(48)	COPD GSE2125 GSE13896	GSE2125	0.76	GSE2125	C13	Hs	0.00267
1	39	12	(137,153)	COPD GSE2125 GSE13896	GSE2125	0.79	GSE2125	C14-3	Hs	0.000379
2	39	12	(48,137,153)	COPD GSE2125 GSE13896	GSE2125	0.83	GSE2125	C13-14-3	Hs	6.62e-05
0	3	3	(48)	Newborn GSE60216	GSE60216	1.00	GSE60216	C13	Hs	0.0293
1	3	3	(137,153)	Newborn GSE60216	GSE60216	0.56	GSE60216	C14-3	Hs	0.629
2	3	3	(48,137,153)	Newborn GSE60216	GSE60216	0.78	GSE60216	C13-14-3	Hs	0.382
0	3	3	(48)	Old GSE60216	GSE60216	0.78	GSE60216	C13	Hs	0.66
1	3	3	(137,153)	Old GSE60216	GSE60216	0.22	GSE60216	C14-3	Hs	0.23
2	3	3	(48,137,153)	Old GSE60216	GSE60216	0.22	GSE60216	C13-14-3	Hs	0.313
0	16	8	(48)	ICM GSE127244	GSE127244	0.29	GSE127244	C13	Hs	0.104
1	16	8	(137,153)	ICM GSE127244	GSE127244	0.80	GSE127244	C14-3	Hs	0.0193
2	16	8	(48,137,153)	ICM GSE127244	GSE127244	0.80	GSE127244	C13-14-3	Hs	0.019
0	14	11	(48)	ICM GSE104423	GSE104423	0.27	GSE104423	C13	Hs	0.591
1	14	11	(137,153)	ICM GSE104423	GSE104423	0.66	GSE104423	C14-3	Hs	0.713
2	14	11	(48,137,153)	ICM GSE104423	GSE104423	0.64	GSE104423	C13-14-3	Hs	0.738
0	24	37	(48)	AD GSE118553	GSE118553	0.25	GSE118553	C13	Hs	0.00106
1	24	37	(137,153)	AD GSE118553	GSE118553	0.80	GSE118553	C14-3	Hs	3.06e-05
2	24	37	(48,137,153)	AD GSE118553	GSE118553	0.76	GSE118553	C13-14-3	Hs	0.00044
0	39	15	(48)	AD GSE48350	GSE48350	0.27	GSE48350	C13	Hs	0.0392
1	39	15	(137,153)	AD GSE48350	GSE48350	0.79	GSE48350	C14-3	Hs	0.000137
2	39	15	(48,137,153)	AD GSE48350	GSE48350	0.79	GSE48350	C13-14-3	Hs	0.000103
0	36	36	(48)	HAND GSE35864	GSE35864	0.33	GSE35864	C13	Hs	0.0142
1	36	36	(137,153)	HAND GSE35864	GSE35864	0.72	GSE35864	C14-3	Hs	0.0128
2	36	36	(48,137,153)	HAND GSE35864	GSE35864	0.68	GSE35864	C13-14-3	Hs	0.0157
0	17	15	(48)	FTD GSE13162	GSE13162	0.23	GSE13162	C13	Hs	0.00957
1	17	15	(137,153)	FTD GSE13162	GSE13162	0.73	GSE13162	C14-3	Hs	0.0128
2	17	15	(48,137,153)	FTD GSE13162	GSE13162	0.63	GSE13162	C13-14-3	Hs	0.0991
0	58	58	(48)	DS GSE59630	GSE59630	0.41	GSE59630	C13	Hs	0.245
1	58	58	(137,153)	DS GSE59630	GSE59630	0.63	GSE59630	C14-3	Hs	0.0322
2	58	58	(48,137,153)	DS GSE59630	GSE59630	0.59	GSE59630	C13-14-3	Hs	0.117
0	10	11	(48)	CJD GSE124571	GSE124571	0.21	GSE124571	C13	Hs	0.017
1	10	11	(137,153)	CJD GSE124571	GSE124571	0.64	GSE124571	C14-3	Hs	0.883
2	10	11	(48,137,153)	CJD GSE124571	GSE124571	0.42	GSE124571	C13-14-3	Hs	0.292
0	106	23	(48)	Sepsis GSE63042	GSE63042	0.64	GSE63042	C13	Hs	0.115
1	106	23	(137,153)	Sepsis GSE63042	GSE63042	0.43	GSE63042	C14-3	Hs	0.271
2	106	23	(48,137,153)	Sepsis GSE63042	GSE63042	0.44	GSE63042	C13-14-3	Hs	0.319
0	20	14	(48)	Sepsis GSE110487	GSE110487	0.68	GSE110487	C13	Hs	0.12
1	20	14	(137,153)	Sepsis GSE110487	GSE110487	0.22	GSE110487	C14-3	Hs	0.0972
2	20	14	(48,137,153)	Sepsis GSE110487	GSE110487	0.22	GSE110487	C13-14-3	Hs	0.174
0	12	12	(48)	T2D GSE104674	GSE104674	0.51	GSE104674	C13	Hs	0.561
1	12	12	(137,153)	T2D GSE104674	GSE104674	0.24	GSE104674	C14-3	Hs	0.0292
2	12	12	(48,137,153)	T2D GSE104674	GSE104674	0.24	GSE104674	C13-14-3	Hs	0.0204
0	40	30	(48)	Diabetes GSE22309	GSE22309	0.77	GSE22309	C13	Hs	0.000113
1	40	30	(137,153)	Diabetes GSE22309	GSE22309	0.79	GSE22309	C14-3	Hs	0.00183
2	40	30	(48,137,153)	Diabetes GSE22309	GSE22309	0.85	GSE22309	C13-14-3	Hs	9.35e-05
0	43	10	(48)	MetS GSE58979	GSE58979	0.20	GSE58979	C13	Hs	0.0829
1	43	10	(137,153)	MetS GSE58979	GSE58979	0.19	GSE58979	C14-3	Hs	0.00112
2	43	10	(48,137,153)	MetS GSE58979	GSE58979	0.18	GSE58979	C13-14-3	Hs	0.000415
0	11	11	(48)	Sleep GSE80612	GSE80612	0.95	GSE80612	C13	Hs	0.00138
1	11	11	(137,153)	Sleep GSE80612	GSE80612	0.99	GSE80612	C14-3	Hs	3.96e-06
2	11	11	(48,137,153)	Sleep GSE80612	GSE80612	1.00	GSE80612	C13-14-3	Hs	1.86e-06
0	342	213	(48)	Sleep GSE98582	GSE98582	0.21	GSE98582	C13	Hs	2.15e-27
1	342	213	(137,153)	Sleep GSE98582	GSE98582	0.59	GSE98582	C14-3	Hs	0.00145
2	342	213	(48,137,153)	Sleep GSE98582	GSE98582	0.55	GSE98582	C13-14-3	Hs	0.342
0	3	3	(48)	Sleep GSE9444	GSE9444	0.44	GSE9444	C13	Hs	0.683
1	3	3	(137,153)	Sleep GSE9444	GSE9444	0.89	GSE9444	C14-3	Hs	0.134
2	3	3	(48,137,153)	Sleep GSE9444	GSE9444	0.78	GSE9444	C13-14-3	Hs	0.146
0	22	22	(48)	Sleep GSE122541	GSE122541	1.00	GSE122541	C13	Hs	8.52e-16
1	22	22	(137,153)	Sleep GSE122541	GSE122541	0.77	GSE122541	C14-3	Hs	0.00114
2	22	22	(48,137,153)	Sleep GSE122541	GSE122541	0.91	GSE122541	C13-14-3	Hs	9.53e-08
0	20	20	(48)	Sleep GSE98895	GSE98895	0.34	GSE98895	C13	Hs	0.028
1	20	20	(137,153)	Sleep GSE98895	GSE98895	0.18	GSE98895	C14-3	Hs	0.000357
2	20	20	(48,137,153)	Sleep GSE98895	GSE98895	0.19	GSE98895	C13-14-3	Hs	0.000404
0	7	10	(48)	Night GSE87761	GSE87761	0.60	GSE87761	C13	Hs	0.734
1	7	10	(137,153)	Night GSE87761	GSE87761	0.87	GSE87761	C14-3	Hs	0.00905
2	7	10	(48,137,153)	Night GSE87761	GSE87761	0.93	GSE87761	C13-14-3	Hs	0.00149
0	12	12	(48)	Ebola GSE133595	GSE133595	0.28	GSE133595	C13	Hs	0.0375
1	12	12	(137,153)	Ebola GSE133595	GSE133595	0.76	GSE133595	C14-3	Hs	0.0388
2	12	12	(48,137,153)	Ebola GSE133595	GSE133595	0.76	GSE133595	C13-14-3	Hs	0.0627
0	94	89	(48)	Ebola GSE130629	GSE130629	0.10	GSE130629	C13	Hs	1.39e-27
1	94	89	(137,153)	Ebola GSE130629	GSE130629	0.78	GSE130629	C14-3	Hs	1.58e-09
2	94	89	(48,137,153)	Ebola GSE130629	GSE130629	0.72	GSE130629	C13-14-3	Hs	1.39e-06
0	22	37	(48)	Ebola GSE122692	GSE122692	0.20	GSE122692	C13	Hs	6.4e-06
1	22	37	(137,153)	Ebola GSE122692	GSE122692	0.55	GSE122692	C14-3	Hs	0.512
2	22	37	(48,137,153)	Ebola GSE122692	GSE122692	0.39	GSE122692	C13-14-3	Hs	0.197
0	10	60	(48)	SARS GSE5972	GSE5972	0.18	GSE5972	C13	Hs	8.43e-05
1	10	60	(137,153)	SARS GSE5972	GSE5972	0.03	GSE5972	C14-3	Hs	1.86e-06
2	10	60	(48,137,153)	SARS GSE5972	GSE5972	0.02	GSE5972	C13-14-3	Hs	1.27e-06
0	123	157	(48)	SARS GSE47963	GSE47963	0.13	GSE47963	C13	Hs	3.24e-26
1	123	157	(137,153)	SARS GSE47963	GSE47963	0.54	GSE47963	C14-3	Hs	0.28
2	123	157	(48,137,153)	SARS GSE47963	GSE47963	0.48	GSE47963	C13-14-3	Hs	0.463
0	15	27	(48)	H7N9 GSE114466	GSE114466	0.29	GSE114466	C13	Hs	0.139
1	15	27	(137,153)	H7N9 GSE114466	GSE114466	0.13	GSE114466	C14-3	Hs	0.000329
2	15	27	(48,137,153)	H7N9 GSE114466	GSE114466	0.08	GSE114466	C13-14-3	Hs	2.87e-05
0	128	127	(48)	H1N1 GSE68310	GSE68310	0.04	GSE68310	C13	Hs	7.1e-44
1	128	127	(137,153)	H1N1 GSE68310	GSE68310	0.16	GSE68310	C14-3	Hs	4.35e-24
2	128	127	(48,137,153)	H1N1 GSE68310	GSE68310	0.09	GSE68310	C13-14-3	Hs	1.15e-36
0	32	46	(48)	InfA GSE52405	GSE52405	0.01	GSE52405	C13	Hs	7.46e-28
1	32	46	(137,153)	InfA GSE52405	GSE52405	0.72	GSE52405	C14-3	Hs	0.00176
2	32	46	(48,137,153)	InfA GSE52405	GSE52405	0.52	GSE52405	C13-14-3	Hs	0.766
0	32	42	(48)	Cov1 GSE52405	GSE52405	0.00	GSE52405	C13	Hs	7.41e-23
1	32	42	(137,153)	Cov1 GSE52405	GSE52405	0.49	GSE52405	C14-3	Hs	0.769
2	32	42	(48,137,153)	Cov1 GSE52405	GSE52405	0.33	GSE52405	C13-14-3	Hs	0.0128
0	51	67	(48)	Flu GSE113211	GSE113211	0.27	GSE113211	C13	Hs	3.22e-06
1	51	67	(137,153)	Flu GSE113211	GSE113211	0.40	GSE113211	C14-3	Hs	0.113
2	51	67	(48,137,153)	Flu GSE113211	GSE113211	0.34	GSE113211	C13-14-3	Hs	0.0138
0	130	229	(48)	Flu GSE111368	GSE111368	0.27	GSE111368	C13	Hs	4.68e-18
1	130	229	(137,153)	Flu GSE111368	GSE111368	0.09	GSE111368	C14-3	Hs	2.04e-36
2	130	229	(48,137,153)	Flu GSE111368	GSE111368	0.09	GSE111368	C13-14-3	Hs	1.59e-42
